Year,Month,Anomaly,Unc,Temps
1862,2,-1.52,2.44,9.2
1862,3,0.16,1.745,12.03
1862,4,-0.45,2.112,15.55
1862,5,-0.81,1.921,12.62
1862,6,0.11,1.689,18.52
1862,7,-0.34,1.143,19.45
1862,8,-0.29,1.202,19.46
1862,9,-0.69,1.052,18.8
1862,10,1.14,0.936,17.82
1862,11,-0.07,1.684,12.27
1862,12,0.08,1.722,8.86
1863,1,0.26,1.548,8.73
1863,2,-1.59,2.603,9.13
1863,3,1.04,0.942,12.91
1863,4,0.77,1.054,16.77
1863,5,0.93,1.446,14.36
1863,6,-1.04,1.527,17.37
1863,7,-0.88,1.141,18.91
1863,8,-1.68,1.187,18.07
1863,9,-1,1.071,18.49
1863,10,-0.36,0.977,16.32
1863,11,-0.75,0.868,11.59
1863,12,0.34,3.547,9.12
1864,1,1.93,1.356,10.4
1864,2,1.3,2.488,12.02
1864,3,0.84,1.26,12.71
1864,4,1.4,1.737,17.4
1864,5,1.29,1.206,14.72
1864,6,-0.23,1.244,18.18
1864,7,-1.51,1.574,18.28
1864,8,-0.86,1.181,18.89
1864,9,-1.45,1.309,18.04
1864,10,-0.5,1.203,16.18
1864,11,-0.18,1.341,12.16
1864,12,1.24,1.794,10.02
1865,1,0.48,1.572,8.95
1865,2,-1.44,0.975,9.28
1865,3,-0.78,1.185,11.09
1865,4,-0.42,1.466,15.58
1865,5,1.72,1.814,15.15
1865,6,-0.03,1.775,18.38
1865,7,-1.37,1.811,18.42
1865,8,-1.76,1.486,17.99
1865,9,-0.96,1.004,18.53
1865,10,-1.37,1.168,15.31
1865,11,0.99,1.335,13.33
1865,12,-2.07,2.238,6.71
1866,1,-0.03,2.11,8.44
1866,2,0.3,2.718,11.02
1866,3,0.12,2.045,11.99
1866,4,1.02,1.505,17.02
1866,5,-1.02,1.145,12.41
1866,6,-0.56,1.487,17.85
1866,7,-1.78,2.916,18.01
1866,8,-1.87,3.824,17.88
1866,9,-1.75,1.754,17.74
1866,10,-0.58,0.568,16.1
1866,11,0.21,0.851,12.55
1866,12,2.71,1.539,11.49
1867,1,0.85,1.525,9.32
1867,2,-1.88,1.785,8.84
1867,3,-2.33,1.113,9.54
1867,4,0.36,0.749,16.36
1867,5,0.05,1.023,13.48
1867,6,-0.65,1.985,17.76
1867,7,-0.89,1.874,18.9
1867,8,-0.58,1.437,19.17
1867,9,-1.44,0.976,18.05
1867,10,-1.13,0.809,15.55
1867,11,0.99,1.64,13.33
1867,12,2.14,2.38,10.92
1868,1,-1.19,1.665,7.28
1868,2,-0.43,1.337,10.29
1868,3,0.34,1.364,12.21
1868,4,0.25,1.113,16.25
1868,5,-0.37,1.145,13.06
1868,6,-1.68,1.46,16.73
1868,7,-1.87,2.046,17.92
1868,8,-2.05,1.929,17.7
1868,9,-2.68,1.436,16.81
1868,10,-0.62,1.403,16.06
1868,11,0.38,0.872,12.72
1868,12,0.98,2.386,9.76
1869,1,0.32,1.727,8.79
1869,2,-0.5,2.317,10.22
1869,3,0.16,2.135,12.03
1869,4,0.67,1.471,16.67
1869,5,-0.05,1.116,13.38
1869,6,0.62,1.755,19.03
1869,7,-0.04,1.017,19.75
1869,8,-1.22,1.063,18.53
1869,9,-0.89,0.872,18.6
1869,10,-0.76,0.771,15.92
1869,11,0.76,1.754,13.1
1869,12,-1.01,1.757,7.77
1870,1,1.28,2.314,9.75
1870,2,0.08,1.905,10.8
1870,3,-1.02,1.308,10.85
1870,4,-0.56,0.862,15.44
1870,5,-0.92,1.182,12.51
1870,6,-1.34,1.501,17.07
1870,7,-0.53,1.546,19.26
1870,8,-0.5,0.948,19.25
1870,9,-2.11,0.633,17.38
1870,10,-0.69,1.005,15.99
1870,11,-0.13,1.945,12.21
1870,12,-0.62,1.047,8.16
1871,1,0.42,1.114,8.89
1871,2,-1.34,1.245,9.38
1871,3,-0.53,1.233,11.34
1871,4,0.06,0.691,16.06
1871,5,-0.86,0.729,12.57
1871,6,0.81,2.121,19.22
1871,7,0.35,2.623,20.14
1871,8,0.88,1.893,20.63
1871,9,-0.6,0.922,18.89
1871,10,0.38,0.885,17.06
1871,11,-1.33,2.529,11.01
1871,12,0.54,1.158,9.32
1872,1,0.54,1.483,9.01
1872,2,0.45,0.936,11.17
1872,3,-0.06,1.572,11.81
1872,4,-1.17,1.607,14.83
1872,5,0.02,1.847,13.45
1872,6,-0.33,2.53,18.08
1872,7,-1.06,1.946,18.73
1872,8,0.03,1.174,19.78
1872,9,-1.03,0.901,18.46
1872,10,-1.18,1.861,15.5
1872,11,-0.69,1.153,11.65
1872,12,0.41,1.699,9.19
1873,1,1.7,1.378,10.17
1873,2,-2.12,1.504,8.6
1873,3,0.08,1.506,11.95
1873,4,-0.44,1.529,15.56
1873,5,-0.71,1.319,12.72
1873,6,-0.91,1.773,17.5
1873,7,-0.68,1.752,19.11
1873,8,-0.54,1.631,19.21
1873,9,-1.51,1.058,17.98
1873,10,-1.22,0.804,15.46
1873,11,0.42,1.322,12.76
1873,12,-1.06,1.973,7.72
